date,pop,price,di,sales,ur,gp
2005,295516599,24796,36526.08333,16948085,5.083333333,2.239576923
2006,298379912,26854,37620.75,16503900,4.608333333,2.533096154
2007,301231207,26950,38118.58333,16089280,4.616666667,2.767056604
2008,304093966,26477,38124.58333,13194746,5.8,3.212865385
2009,306771529,26245,37728.83333,10402225,9.283333333,2.3145
2010,309321666,35417,38161.5,11554819,9.608333333,2.742384615
2011,311556874,35635,38778.83333,12742968,8.933333333,3.475826923
2012,313830990,34839,39782.41667,14434434,8.075,3.552207547
2013,315993715,35368,39001.91667,15529876,7.358333333,3.442865385
2014,318301008,35500,40307.83333,16451950,6.158333333,3.298788462
2015,320635163,36412,41684,17407670,5.275,2.33375
2016,322941311,36888,42207.5,17476990,4.875,2.070461538
2017,324985539,37158,43233.25,17149860,4.35,2.333173077
2018,326687501,37414,44551.58333,17224787,3.891666667,2.630528302
2019,328239523,38003,45301.5,16960954,3.683333333,2.500519231
